ad_id,reporting_start,reporting_end ,Campaign_Name ,campaign_id,fb_campaign_id,age,gender,interest,impressions,Clicks,Spent,Total_Conversion,,Approved_Conversion,Conversion rate,Revenue ,Likes ,Comments ,Shares ,CTR,ROI,Engagement Rate 
709038,29-08-2017,29-08-2017,Summer Buzz Campaign,916,103965,30-34,M,15,5117,2,? 2.61,1,,0,0.00%,? 274.00,20,2,7,0.03%,0%,0.566738323
709040,29-08-2017,29-08-2017,Summer Buzz Campaign,916,103965,30-34,M,16,5120,2,? 3.05,1,,0,0.00%,? 195.00,24,17,8,0.02%,0%,0.95703125
709059,30-08-2017,30-08-2017,Summer Buzz Campaign,916,103968,30-34,M,16,14669,2,? 3.06,1,,1,100.00%,? 288.00,23,10,6,0.02%,270156%,0.265866794
709105,30-08-2017,30-08-2017,Summer Buzz Campaign,916,103976,30-34,M,29,1241,2,? 2.98,1,,1,100.00%,? 102.00,10,8,9,0.03%,0%,2.175664786
709115,30-08-2017,30-08-2017,Summer Buzz Campaign,916,103978,30-34,M,16,2305,4,? 5.52,1,,0,0.00%,? 275.00,21,16,9,0.02%,4814561%,1.995661605
709124,30-08-2017,30-08-2017,Summer Buzz Campaign,916,103979,30-34,M,16,1024,2,? 1.69,1,,1,100.00%,? 275.00,10,13,8,0.02%,0%,3.02734375
709179,30-08-2017,30-08-2017,Summer Buzz Campaign,916,103988,35-39,M,16,4627,7,? 8.47,1,,1,100.00%,? 144.00,17,19,2,0.03%,842071%,0.821266479
709183,30-08-2017,30-08-2017,Summer Buzz Campaign,916,103989,35-39,M,16,21026,12,? 15.82,1,,0,0.00%,? 219.00,11,20,2,0.03%,463002%,0.15694854
709320,17-08-2017,17-08-2017,Summer Buzz Campaign,916,104012,35-39,M,24,1422,1,? 1.47,1,,0,0.00%,? 277.00,17,19,3,0.04%,0%,2.742616034
709323,17-08-2017,17-08-2017,Summer Buzz Campaign,916,104012,35-39,M,21,7132,1,? 1.53,1,,1,100.00%,? 290.00,25,18,5,0.05%,1101111%,0.673022995
709326,18-08-2017,18-08-2017,Summer Buzz Campaign,916,104013,35-39,M,16,12190,14,? 18.07,1,,1,100.00%,? 135.00,11,18,4,0.02%,432623%,0.2707137
709327,18-08-2017,18-08-2017,Summer Buzz Campaign,916,104013,35-39,M,32,12193,1,? 1.61,1,,1,100.00%,? 243.00,25,20,8,0.03%,784118%,0.434675634
709328,18-08-2017,18-08-2017,Summer Buzz Campaign,916,104013,35-39,M,15,3332,1,? 1.19,1,,0,0.00%,? 189.00,14,2,5,0.02%,0%,0.630252101
709455,18-08-2017,18-08-2017,Summer Buzz Campaign,916,104034,35-39,M,16,559,7,? 9.22,1,,0,0.00%,? 149.00,10,7,4,0.02%,0%,3.756708408
709544,18-08-2017,18-08-2017,Summer Buzz Campaign,916,104049,35-39,M,15,7440,1,? 1.51,1,,0,0.00%,? 293.00,22,13,9,0.02%,973221%,0.591397849
709614,19-08-2017,19-08-2017,Summer Buzz Campaign,916,104061,40-44,M,29,19113,7,? 9.43,1,,1,100.00%,? 170.00,24,2,3,0.03%,297971%,0.15172919
709756,19-08-2017,19-08-2017,Summer Buzz Campaign,916,104085,40-44,M,65,10976,5,? 6.96,1,,0,0.00%,? 191.00,22,2,7,0.04%,1120177%,0.282434402
709761,18-08-2017,18-08-2017,Summer Buzz Campaign,916,104085,40-44,M,25,2861,1,? 1.22,1,,0,0.00%,? 298.00,20,15,3,0.04%,0%,1.328206921
709899,18-08-2017,18-08-2017,Summer Buzz Campaign,916,104108,40-44,M,27,1398,2,? 2.80,1,,1,100.00%,? 132.00,10,4,6,0.03%,0%,1.430615165
709901,18-08-2017,18-08-2017,Summer Buzz Campaign,916,104109,40-44,M,20,23817,1,? 1.60,1,,0,0.00%,? 168.00,25,19,4,0.04%,188347%,0.201536717
710045,17-08-2017,17-08-2017,Summer Buzz Campaign,916,104133,45-49,M,15,47224,1,? 1.13,2,,1,50.00%,? 283.00,14,18,5,0.03%,168887%,0.078349992
710088,17-08-2017,17-08-2017,Summer Buzz Campaign,916,104140,45-49,M,10,2283,4,? 5.73,1,,1,100.00%,? 224.00,13,9,4,0.04%,1513809%,1.138852387
710360,17-08-2017,17-08-2017,Summer Buzz Campaign,916,104185,45-49,M,63,2182,7,? 9.38,1,,0,0.00%,? 126.00,11,3,9,0.04%,813529%,1.054078827
710477,17-08-2017,17-08-2017,Summer Buzz Campaign,916,104205,30-34,F,10,2654,4,? 5.63,1,,1,100.00%,? 137.00,17,11,5,0.03%,0%,1.243406179
710480,17-08-2017,17-08-2017,Summer Buzz Campaign,916,104205,30-34,F,15,57665,3,? 3.84,1,,0,0.00%,? 106.00,12,11,6,0.02%,48661%,0.050290471
710571,18-08-2017,18-08-2017,Summer Buzz Campaign,916,104220,30-34,F,29,3091,1,? 1.04,4,,0,0.00%,? 271.00,12,10,9,0.02%,1673230%,1.002911679
710617,18-08-2017,18-08-2017,Summer Buzz Campaign,916,104228,30-34,F,10,5014,1,? 1.46,1,,1,100.00%,? 120.00,13,18,3,0.02%,998403%,0.678101316
710623,18-08-2017,18-08-2017,Summer Buzz Campaign,916,104229,30-34,F,16,38726,2,? 2.84,1,,1,100.00%,? 293.00,25,3,8,0.02%,307787%,0.092960802
710628,17-08-2017,17-08-2017,Summer Buzz Campaign,916,104230,30-34,F,20,1473,1,? 1.35,1,,1,100.00%,? 100.00,15,8,9,0.03%,0%,2.172437203
710682,29-08-2017,29-08-2017,Summer Buzz Campaign,916,104239,30-34,F,27,1186,4,? 5.75,1,,0,0.00%,? 280.00,13,14,3,0.04%,0%,2.529510961
710763,29-08-2017,29-08-2017,Summer Buzz Campaign,916,104252,30-34,F,28,5369,3,? 3.98,1,,0,0.00%,? 246.00,10,4,2,0.04%,1619139%,0.298007078
710836,27-08-2017,27-08-2017,Summer Buzz Campaign,916,104265,30-34,F,29,22221,3,? 4.45,1,,0,0.00%,? 263.00,10,8,8,0.03%,268897%,0.117006435
710867,26-08-2017,26-08-2017,Summer Buzz Campaign,916,104270,30-34,F,29,1185,2,? 1.32,2,,0,0.00%,? 132.00,12,4,9,0.03%,0%,2.109704641
710880,26-08-2017,26-08-2017,Summer Buzz Campaign,916,104272,30-34,F,29,13019,3,? 4.09,1,,0,0.00%,? 157.00,12,4,9,0.03%,215575%,0.192027037
710961,27-08-2017,27-08-2017,Summer Buzz Campaign,916,104285,35-39,F,10,2508,1,? 1.53,1,,1,100.00%,? 160.00,19,4,7,0.02%,1301475%,1.196172249
710968,27-08-2017,27-08-2017,Summer Buzz Campaign,916,104287,35-39,F,16,5864,7,? 10.03,1,,1,100.00%,? 227.00,16,8,7,0.02%,800714%,0.528649386
711217,27-08-2017,27-08-2017,Summer Buzz Campaign,916,104328,35-39,F,26,2783,3,? 4.25,1,,0,0.00%,? 139.00,10,1,9,0.02%,858750%,0.71864894
711623,27-08-2017,27-08-2017,Summer Buzz Campaign,916,104396,40-44,F,27,3812,13,? 20.29,3,,3,100.00%,? 118.00,18,7,6,0.02%,1034248%,0.813221406
711764,27-08-2017,27-08-2017,Summer Buzz Campaign,916,104419,45-49,F,27,11199,1,? 1.39,1,,1,100.00%,? 115.00,17,5,4,0.02%,190698%,0.232163586
711785,26-08-2017,26-08-2017,Summer Buzz Campaign,916,104423,45-49,F,29,292,3,? 4.44,1,,0,0.00%,? 125.00,20,10,9,0.03%,0%,13.35616438
711877,26-08-2017,26-08-2017,Summer Buzz Campaign,916,104438,45-49,F,31,17572,1,? 1.57,1,,1,100.00%,? 138.00,10,15,2,0.02%,137122%,0.15365354
712052,25-08-2017,25-08-2017,Summer Buzz Campaign,916,104467,45-49,F,64,1448,1,? 1.29,1,,1,100.00%,? 261.00,15,8,5,0.02%,,1.933701657
734209,25-08-2017,25-08-2017,Festive Offer Drive ,936,108654,30-34,M,10,1772,1,? 1.41,1,,1,100.00%,? 152.00,23,3,5,0.02%,0%,1.749435666
734210,25-08-2017,25-08-2017,Festive Offer Drive ,936,108654,30-34,M,16,13329,24,? 33.33,4,,2,50.00%,? 144.00,17,3,2,0.02%,245773%,0.165053642
734215,26-08-2017,26-08-2017,Festive Offer Drive ,936,108655,30-34,M,22,13659,3,? 3.34,1,,1,100.00%,? 213.00,21,16,8,0.04%,544687%,0.329453108
734243,26-08-2017,26-08-2017,Festive Offer Drive ,936,108660,30-34,M,27,739,6,? 8.05,1,,0,0.00%,? 279.00,19,3,3,0.03%,0%,3.382949932
734266,26-08-2017,26-08-2017,Festive Offer Drive ,936,108664,30-34,M,29,605,4,? 5.21,1,,1,100.00%,? 111.00,16,4,9,0.03%,,4.79338843
734272,26-08-2017,26-08-2017,Festive Offer Drive ,936,108665,30-34,M,36,1030,0,? 0.00,0,,0,0.00%,? 296.00,24,1,3,0.00%,0%,2.718446602
734290,26-08-2017,26-08-2017,Festive Offer Drive ,936,108668,30-34,M,26,5374,2,? 2.35,1,,0,0.00%,? 239.00,18,7,5,0.03%,2288077%,0.558243394
734313,26-08-2017,26-08-2017,Festive Offer Drive ,936,108672,30-34,M,27,790,13,? 19.33,1,,0,0.00%,? 262.00,23,3,5,0.03%,0%,3.924050633
734314,27-08-2017,27-08-2017,Festive Offer Drive ,936,108672,30-34,M,63,962,1,? 1.45,1,,0,0.00%,? 298.00,16,4,9,0.02%,0%,3.014553015
734352,27-08-2017,27-08-2017,Festive Offer Drive ,936,108678,35-39,M,64,4423,3,? 4.05,1,,0,0.00%,? 212.00,18,19,8,0.03%,1442055%,1.017408998
734361,29-08-2017,29-08-2017,Festive Offer Drive ,936,108680,35-39,M,10,12382,23,? 32.98,1,,0,0.00%,? 114.00,12,6,7,0.03%,391408%,0.201905993
734381,29-08-2017,29-08-2017,Festive Offer Drive ,936,108683,35-39,M,15,2938,20,? 31.29,1,,0,0.00%,? 291.00,13,3,3,0.03%,2145556%,0.646698434
734399,28-08-2017,28-08-2017,Festive Offer Drive ,936,108686,35-39,M,20,239,6,? 8.79,1,,0,0.00%,? 171.00,13,6,7,0.04%,0%,10.87866109
734418,29-08-2017,29-08-2017,Festive Offer Drive ,936,108689,35-39,M,27,591,5,? 9.12,1,,1,100.00%,? 288.00,24,13,4,0.03%,0%,6.937394247
734421,29-08-2017,29-08-2017,Festive Offer Drive ,936,108690,35-39,M,27,10332,4,? 6.26,1,,0,0.00%,? 219.00,21,14,8,0.03%,370870%,0.416182733
734427,29-08-2017,29-08-2017,Festive Offer Drive ,936,108691,35-39,M,29,8259,28,? 38.64,2,,1,50.00%,? 206.00,25,15,3,0.03%,507588%,0.520644146
734433,29-08-2017,29-08-2017,Festive Offer Drive ,936,108692,35-39,M,2,12158,1,? 0.24,1,,0,0.00%,? 106.00,16,5,7,0.04%,228202%,0.230301036
734582,29-08-2017,29-08-2017,Festive Offer Drive ,936,108716,40-44,M,28,7709,1,? 1.09,1,,0,0.00%,? 269.00,10,17,5,0.03%,2027879%,0.415099235
734605,28-08-2017,28-08-2017,Festive Offer Drive ,936,108720,40-44,M,16,834,2,? 2.68,1,,0,0.00%,? 196.00,24,5,6,0.02%,0%,4.196642686
734660,28-08-2017,28-08-2017,Festive Offer Drive ,936,108729,45-49,M,63,1299,2,? 3.01,1,,0,0.00%,? 249.00,10,3,3,0.04%,0%,1.231716705
734666,28-08-2017,28-08-2017,Festive Offer Drive ,936,108730,45-49,M,30,371,1,? 1.58,1,,1,100.00%,? 218.00,25,10,8,0.05%,0%,11.5902965
734726,28-08-2017,28-08-2017,Festive Offer Drive ,936,108740,45-49,M,16,10466,10,? 14.06,1,,0,0.00%,? 274.00,10,4,2,0.02%,659927%,0.152875979
734737,27-08-2017,27-08-2017,Festive Offer Drive ,936,108742,45-49,M,18,839,2,? 2.90,1,,1,100.00%,? 144.00,13,4,6,0.03%,0%,2.74135876
734785,28-08-2017,28-08-2017,Festive Offer Drive ,936,108750,30-34,F,18,5576,1,? 1.59,1,,0,0.00%,? 131.00,17,14,2,0.02%,846209%,0.591822095
734794,28-08-2017,28-08-2017,Festive Offer Drive ,936,108752,30-34,F,16,4010,3,? 4.59,1,,0,0.00%,? 127.00,16,12,4,0.02%,0%,0.798004988
734796,28-08-2017,28-08-2017,Festive Offer Drive ,936,108752,30-34,F,20,39337,1,? 0.54,1,,0,0.00%,? 192.00,20,16,6,0.03%,181426%,0.106769708
734800,28-08-2017,28-08-2017,Festive Offer Drive ,936,108753,30-34,F,27,1635,7,? 13.41,1,,1,100.00%,? 299.00,21,4,7,0.02%,0%,1.957186544
734803,28-08-2017,28-08-2017,Festive Offer Drive ,936,108753,30-34,F,31,1631,1,? 0.86,1,,1,100.00%,? 177.00,20,13,5,0.03%,0%,2.329858982
734852,28-08-2017,28-08-2017,Festive Offer Drive ,936,108761,30-34,F,10,13479,9,? 10.77,1,,1,100.00%,? 216.00,18,1,2,0.03%,498235%,0.155797908
734854,19-08-2017,19-08-2017,Festive Offer Drive ,936,108762,30-34,F,16,57022,4,? 5.59,3,,0,0.00%,? 292.00,10,17,3,0.02%,133913%,0.052611273
734856,19-08-2017,19-08-2017,Festive Offer Drive ,936,108762,30-34,F,16,5453,36,? 58.16,3,,1,33.33%,? 144.00,24,18,6,0.02%,1025971%,0.880249404
734866,20-08-2017,20-08-2017,Festive Offer Drive ,936,108764,30-34,F,18,11803,7,? 10.62,1,,1,100.00%,? 172.00,11,10,7,0.03%,377387%,0.237227823
734881,20-08-2017,20-08-2017,Festive Offer Drive ,936,108766,30-34,F,19,4259,4,? 5.46,1,,1,100.00%,? 275.00,20,13,3,0.04%,1741592%,0.845268842
734901,20-08-2017,20-08-2017,Festive Offer Drive ,936,108770,30-34,F,10,1554,15,? 20.18,1,,1,100.00%,? 137.00,10,11,5,0.03%,0%,1.673101673
734903,20-08-2017,20-08-2017,Festive Offer Drive ,936,108770,30-34,F,16,5323,116,? 176.38,4,,1,25.00%,? 206.00,23,18,3,0.02%,1586899%,0.82660154
734925,20-08-2017,20-08-2017,Festive Offer Drive ,936,108774,35-39,F,16,5024,27,? 34.39,2,,1,50.00%,? 277.00,17,15,4,0.03%,1954539%,0.71656051
734939,20-08-2017,20-08-2017,Festive Offer Drive ,936,108776,35-39,F,18,104648,4,? 5.49,1,,1,100.00%,? 292.00,22,9,5,0.03%,77609%,0.03440104
734968,20-08-2017,20-08-2017,Festive Offer Drive ,936,108781,35-39,F,24,8504,1,? 1.42,1,,0,0.00%,? 231.00,23,13,8,0.11%,681617%,0.517403575
734999,20-08-2017,20-08-2017,Festive Offer Drive ,936,108786,35-39,F,26,20277,38,? 51.97,5,,1,20.00%,? 131.00,18,18,8,0.03%,152733%,0.216994624
735014,19-08-2017,19-08-2017,Festive Offer Drive ,936,108788,35-39,F,10,12403,2,? 3.19,1,,0,0.00%,? 197.00,16,8,5,0.03%,368119%,0.2338144
735032,19-08-2017,19-08-2017,Festive Offer Drive ,936,108791,35-39,F,16,498,2,? 1.96,1,,0,0.00%,? 101.00,18,3,6,0.02%,0%,5.421686747
735033,18-08-2017,18-08-2017,Festive Offer Drive ,936,108792,35-39,F,16,652,1,? 0.60,2,,0,0.00%,? 270.00,12,17,9,0.01%,0%,5.828220859
735043,18-08-2017,18-08-2017,Festive Offer Drive ,936,108793,35-39,F,15,1357,1,? 1.15,1,,1,100.00%,? 214.00,21,15,2,0.02%,0%,2.800294768
735048,18-08-2017,18-08-2017,Festive Offer Drive ,936,108794,35-39,F,16,1393,2,? 3.18,1,,1,100.00%,? 122.00,12,5,6,0.02%,0%,1.651112706
735065,19-08-2017,19-08-2017,Festive Offer Drive ,936,108797,40-44,F,22,648,1,? 0.98,1,,1,100.00%,? 129.00,24,1,5,0.04%,0%,4.62962963
735109,19-08-2017,19-08-2017,Festive Offer Drive ,936,108804,40-44,F,2,708,2,? 1.48,1,,1,100.00%,? 248.00,23,6,3,0.05%,0%,4.519774011
735140,19-08-2017,19-08-2017,Festive Offer Drive ,936,108809,40-44,F,16,6907,3,? 2.94,1,,1,100.00%,? 203.00,21,6,9,0.02%,853830%,0.521210366
735143,19-08-2017,19-08-2017,Festive Offer Drive ,936,108810,40-44,F,10,39035,3,? 4.60,1,,1,100.00%,? 287.00,23,13,2,0.03%,138474%,0.097348533
735151,19-08-2017,19-08-2017,Festive Offer Drive ,936,108811,40-44,F,16,926,2,? 2.67,1,,0,0.00%,? 147.00,24,9,7,0.02%,0%,4.319654428
735184,19-08-2017,19-08-2017,Festive Offer Drive ,936,108817,40-44,F,10,4412,8,? 10.96,1,,1,100.00%,? 171.00,19,9,3,0.03%,1169310%,0.702629193
735189,21-08-2017,21-08-2017,Festive Offer Drive ,936,108818,40-44,F,15,9965,2,? 2.36,1,,1,100.00%,? 219.00,24,7,4,0.02%,530741%,0.351229303
735213,21-08-2017,21-08-2017,Festive Offer Drive ,936,108822,45-49,F,16,73634,5,? 7.35,1,,0,0.00%,? 187.00,23,8,6,0.02%,46701%,0.050248526
735220,18-08-2017,18-08-2017,Festive Offer Drive ,936,108823,45-49,F,22,69708,10,? 9.34,1,,0,0.00%,? 255.00,25,8,8,0.04%,71496%,0.058816779
735242,18-08-2017,18-08-2017,Festive Offer Drive ,936,108826,45-49,F,26,530,3,? 4.62,1,,0,0.00%,? 155.00,13,4,4,0.03%,0%,3.962264151
735247,18-08-2017,18-08-2017,Festive Offer Drive ,936,108827,45-49,F,27,14257,5,? 8.50,1,,0,0.00%,? 162.00,21,6,2,0.02%,174300%,0.203408852
735289,18-08-2017,18-08-2017,Festive Offer Drive ,936,108834,45-49,F,21,20362,0,? 0.00,0,,0,0.00%,? 204.00,22,17,7,0.00%,213684%,0.225911011
735290,18-08-2017,18-08-2017,Festive Offer Drive ,936,108834,45-49,F,25,12215,2,? 2.42,1,,0,0.00%,? 170.00,22,7,5,0.04%,261565%,0.278346296
735298,18-08-2017,18-08-2017,Festive Offer Drive ,936,108836,45-49,F,26,85412,2,? 2.95,1,,0,0.00%,? 224.00,14,15,3,0.03%,47971%,0.037465462
736869,18-08-2017,18-08-2017,Festive Offer Drive ,936,109448,30-34,M,27,2338,2,? 3.72,1,,1,100.00%,? 202.00,21,2,5,0.02%,8406667%,1.19760479
736890,18-08-2017,18-08-2017,Festive Offer Drive ,936,109451,30-34,M,29,2522,4,? 4.45,1,,0,0.00%,? 135.00,18,11,8,0.04%,0%,1.467089611
736893,18-08-2017,18-08-2017,Festive Offer Drive ,936,109452,30-34,M,16,3587,8,? 13.07,1,,0,0.00%,? 118.00,21,8,3,0.02%,0%,0.892110399
736977,18-08-2017,18-08-2017,Festive Offer Drive ,936,109470,30-34,M,16,1273,7,? 10.85,2,,0,0.00%,? 293.00,10,5,9,0.02%,0%,1.885310291
736988,21-08-2017,21-08-2017,Festive Offer Drive ,936,109472,30-34,M,16,3891,9,? 10.85,1,,0,0.00%,? 127.00,22,20,4,0.02%,1155138%,1.182215369
736995,21-08-2017,21-08-2017,Festive Offer Drive ,936,109473,30-34,M,16,1888,10,? 12.06,1,,1,100.00%,? 108.00,21,18,3,0.02%,0%,2.224576271
736997,21-08-2017,21-08-2017,Festive Offer Drive ,936,109473,30-34,M,15,1895,5,? 8.86,1,,0,0.00%,? 218.00,11,2,3,0.03%,0%,0.844327177
737097,21-08-2017,21-08-2017,Festive Offer Drive ,936,109498,35-39,M,16,715,21,? 27.73,4,,1,25.00%,? 158.00,19,20,9,0.03%,0%,6.713286713
737130,21-08-2017,21-08-2017,Festive Offer Drive ,936,109507,35-39,M,16,11199,6,? 7.35,1,,0,0.00%,? 154.00,17,13,4,0.02%,564627%,0.303598536
737320,18-08-2017,18-08-2017,Festive Offer Drive ,936,109553,35-39,M,16,5676,19,? 26.53,1,,0,0.00%,? 127.00,15,12,3,0.02%,411927%,0.528541226
737375,21-08-2017,21-08-2017,Festive Offer Drive ,936,109565,40-44,M,16,1415,25,? 39.43,3,,0,0.00%,? 166.00,21,13,3,0.02%,0%,2.614840989
737524,21-08-2017,21-08-2017,Festive Offer Drive ,936,109601,40-44,M,27,2148,24,? 47.93,3,,0,0.00%,? 246.00,22,10,3,0.03%,1546962%,1.629422719
737644,21-08-2017,21-08-2017,Festive Offer Drive ,936,109629,45-49,M,27,45401,3,? 6.04,1,,0,0.00%,? 258.00,15,17,6,0.03%,173499%,0.083698597
737657,18-08-2017,18-08-2017,Festive Offer Drive ,936,109633,45-49,M,29,7478,2,? 2.37,1,,0,0.00%,? 109.00,22,20,7,0.03%,365862%,0.655255416
737658,18-08-2017,18-08-2017,Festive Offer Drive ,936,109633,45-49,M,31,4919,4,? 6.34,1,,1,100.00%,? 236.00,11,5,2,0.05%,1474277%,0.365928034
737674,20-08-2017,20-08-2017,Festive Offer Drive ,936,109637,45-49,M,16,533,34,? 53.22,1,,0,0.00%,? 237.00,19,17,3,0.03%,0%,7.317073171
737766,20-08-2017,20-08-2017,Festive Offer Drive ,936,109659,45-49,M,16,1447,23,? 35.80,2,,0,0.00%,? 227.00,13,18,2,0.02%,0%,2.280580511
737896,20-08-2017,20-08-2017,Festive Offer Drive ,936,109689,30-34,F,16,17553,114,? 180.22,1,,0,0.00%,? 293.00,12,16,2,0.03%,628344%,0.170910955
737931,20-08-2017,20-08-2017,Festive Offer Drive ,936,109698,30-34,F,10,3343,48,? 76.41,1,,0,0.00%,? 108.00,23,11,8,0.03%,1990000%,1.256356566
737961,20-08-2017,20-08-2017,Festive Offer Drive ,936,109706,30-34,F,10,523,6,? 9.55,1,,0,0.00%,? 135.00,25,3,4,0.03%,0%,6.118546845
737995,20-08-2017,20-08-2017,Festive Offer Drive ,936,109714,30-34,F,10,1873,11,? 18.02,1,,0,0.00%,? 240.00,17,18,7,0.02%,0%,2.242391885
738006,20-08-2017,20-08-2017,Festive Offer Drive ,936,109717,30-34,F,63,34740,8,? 13.37,1,,0,0.00%,? 188.00,20,19,3,0.03%,130194%,0.1208981
738067,20-08-2017,20-08-2017,Festive Offer Drive ,936,109731,30-34,F,25,658,4,? 4.59,2,,1,50.00%,? 228.00,12,15,3,0.04%,0%,4.559270517
738098,20-08-2017,20-08-2017,Festive Offer Drive ,936,109738,30-34,F,21,1539,16,? 25.86,1,,0,0.00%,? 117.00,11,19,6,0.04%,0%,2.339181287
738307,20-08-2017,20-08-2017,Festive Offer Drive ,936,109788,35-39,F,19,3010,1,? 0.49,1,,1,100.00%,? 274.00,12,16,3,0.03%,3176046%,1.029900332
738389,19-08-2017,19-08-2017,Festive Offer Drive ,936,109808,40-44,F,29,27081,1,? 1.68,1,,1,100.00%,? 159.00,16,16,6,0.01%,137632%,0.140319781
738408,19-08-2017,19-08-2017,Festive Offer Drive ,936,109813,40-44,F,28,20233,15,? 25.42,1,,1,100.00%,? 153.00,17,11,9,0.03%,263703%,0.18286957
738413,19-08-2017,19-08-2017,Festive Offer Drive ,936,109813,40-44,F,16,147159,2,? 3.31,1,,1,100.00%,? 194.00,16,7,2,0.01%,23356%,0.016988427
738423,19-08-2017,19-08-2017,Festive Offer Drive ,936,109816,40-44,F,16,21664,1,? 1.55,1,,0,0.00%,? 275.00,24,17,2,0.01%,248945%,0.198485968
738436,19-08-2017,19-08-2017,Festive Offer Drive ,936,109820,40-44,F,16,9112,5,? 5.44,0,,0,0.00%,? 113.00,22,3,8,0.01%,196960%,0.362159789
738463,20-08-2017,20-08-2017,Festive Offer Drive ,936,109826,40-44,F,26,542,55,? 81.61,1,,0,0.00%,? 242.00,21,4,2,0.03%,0%,4.981549815
738528,19-08-2017,19-08-2017,Festive Offer Drive ,936,109839,40-44,F,65,402,3,? 4.99,1,,1,100.00%,? 240.00,22,4,4,0.02%,0%,7.462686567
738560,19-08-2017,19-08-2017,Festive Offer Drive ,936,109844,40-44,F,65,1338,20,? 31.71,1,,0,0.00%,? 225.00,15,19,7,0.03%,0%,3.064275037
738582,19-08-2017,19-08-2017,Festive Offer Drive ,936,109848,45-49,F,63,46150,16,? 25.52,2,,0,0.00%,? 168.00,25,20,7,0.03%,73251%,0.112676056
738592,20-08-2017,20-08-2017,Festive Offer Drive ,936,109850,45-49,F,63,493821,3,? 4.26,1,,0,0.00%,? 256.00,24,9,4,0.02%,4514%,0.007492593
738593,20-08-2017,20-08-2017,Festive Offer Drive ,936,109850,45-49,F,15,92011,1,? 1.83,1,,0,0.00%,? 279.00,22,8,4,0.01%,71128%,0.036952104
738598,21-08-2017,21-08-2017,Festive Offer Drive ,936,109851,45-49,F,16,12956,1,? 1.39,1,,0,0.00%,? 177.00,23,10,5,0.01%,312404%,0.293300401
738606,21-08-2017,21-08-2017,Festive Offer Drive ,936,109852,45-49,F,16,529,2,? 2.81,1,,0,0.00%,? 160.00,20,5,8,0.01%,0%,6.238185255
738637,21-08-2017,21-08-2017,Festive Offer Drive ,936,109857,45-49,F,16,944,8,? 11.05,1,,0,0.00%,? 164.00,14,1,7,0.01%,1144930%,2.330508475
738648,18-08-2017,18-08-2017,Festive Offer Drive ,936,109859,45-49,F,10,111090,5,? 7.23,1,,0,0.00%,? 164.00,20,19,8,0.02%,21557%,0.042308039
747212,18-08-2017,18-08-2017,Festive Offer Drive ,936,110836,30-34,M,63,7208,3,? 4.27,1,,0,0.00%,? 299.00,17,10,4,0.03%,927304%,0.430077691
747213,18-08-2017,18-08-2017,Festive Offer Drive ,936,110836,30-34,M,64,1746,6,? 9.48,1,,1,100.00%,? 222.00,13,16,7,0.03%,0%,2.06185567
